"","Gene.symbol","Log2FoldChange","ENTREZID"
"574","CPEB3",1.84158232,"22849"
"575","FGD6",1.840946314,"55785"
"576","CLEC2B",1.839326212,"9976"
"577","UBE2M",1.8377284,"9040"
"578","TTC32",1.835753256,"130502"
"579","LMBRD1",1.832343555,"55788"
"580","SLC11A2",1.828374833,"4891"
"581","RRAGD",1.828239073,"58528"
"582","ACAD8",1.825714678,"27034"
"583","TIMM17B",1.825555197,"10245"
"584","ARID4A",1.825474176,"5926"
"585","TMEM176B",1.823634822,"28959"
"586","ANG",1.8223721,"283"
"587","GBP2",1.819676135,"2634"
"588","KRT8",1.819449585,"3856"
"589","BMS1P1",1.819414818,"399761"
"590","LRIF1",1.819029211,"55791"
"591","FBXO45",1.81639399,"200933"
"592","MND1",1.816219376,"84057"
"593","PIGH",1.815484228,"5283"
"594","ETFDH",1.815408712,"2110"
"595","ACSL5",1.814416012,"51703"
"596","TSPAN8",1.814393376,"7103"
"597","SMYD3",1.8123629,"64754"
"598","NFKB1",1.81163087,"4790"
"599","NOSTRIN",1.811527338,"115677"
"600","IL32",1.810902247,"9235"
"601","CYB5R4",1.810622088,"51167"
"602","ZNF7",1.810470493,"7553"
"603","AASS",1.809905644,"10157"
"604","ZNF273",1.809070377,"10793"
"605","PINX1",1.80716535,"54984"
"606","TOR4A",1.805366943,"54863"
"607","IL18",1.805090288,"3606"
"608","WARS2",1.804674911,"10352"
"609","ADA",1.804546346,"100"
"610","AOX1",1.8038225,"316"
"611","SPDL1",1.799493262,"54908"
"612","GINM1",1.797866433,"116254"
"613","NEK2",1.79727254,"4751"
"614","CASD1",1.796985216,"64921"
"615","RAD1",1.796893116,"5810"
"616","PIP4P2",1.795056322,"55529"
"617","ATRN",1.795047724,"8455"
"618","ELF2",1.792509,"1998"
"619","ERMP1",1.79183191,"79956"
"620","TLK1",1.78992794,"9874"
"621","C5orf22",1.789726278,"55322"
"622","ZFP91",1.78842541,"80829"
"623","RAB5C",1.788121573,"5878"
"624","CIAO1",1.787915888,"9391"
"625","DPY19L1",1.787114458,"23333"
"626","TEX264",1.786932253,"51368"
"627","SATB2",1.786893148,"23314"
"628","IFITM1",1.786706736,"8519"
"629","VSNL1",1.783528634,"7447"
"630","THAP6",1.782358449,"152815"
"631","STK16",1.781718335,"8576"
"632","WDR45",1.780172762,"11152"
"633","NFKBIL1",1.779367856,"4795"
"634","SMARCA5",1.777959806,"8467"
"635","TIMM8B",1.775648475,"26521"
"636","GPS2",1.772086031,"2874"
"637","BET1",1.771555616,"10282"
"638","VPS28",1.771116054,"51160"
"639","MACO1",1.77109477,"55219"
"640","TMEM92",1.770609468,"162461"
"641","PRORSD1P",1.768322905,"344405"
"642","FARSA",1.767614616,"2193"
"643","PPIP5K1",1.767172133,"9677"
"644","PPP1R3D",1.766707761,"5509"
"645","ACBD5",1.766112779,"91452"
"646","UCHL3",1.764272181,"7347"
"647","C6orf62",1.764270082,"81688"
"648","TMSB4X",1.763857427,"7114"
"649","JCAD",1.760885878,"57608"
"650","PRKAG2",1.760777652,"51422"
"651","OBI1",1.760692587,"79596"
"652","EIF5A2",1.759021393,"56648"
"653","LPAR3",1.75787366,"23566"
"654","ZBED4",1.757847917,"9889"
"655","SPX",1.757797785,"80763"
"656","DBR1",1.756294111,"51163"
"657","TMEM181",1.756276486,"57583"
"658","CDKAL1",1.755413779,"54901"
"659","AP1S2",1.753334871,"8905"
"660","TRIP11",1.753092293,"9321"
"661","PIP5K1B",1.752975265,"8395"
"662","DCBLD1",1.75209043,"285761"
"663","FAM161A",1.751969416,"84140"
"664","DNAJB11",1.751343048,"51726"
"665","RPGR",1.749621246,"6103"
"666","EPDR1",1.749231646,"54749"
"667","UBE2S",1.746950331,"27338"
"668","QRSL1",1.745949634,"55278"
"669","ADORA2B",1.743401845,"136"
"670","YWHAE",1.742252615,"7531"
